Rk,Player,W-L%,ERA,Year,Age,Tm,Lg,G,GS,CG,SHO,GF,W,L,SV,IP,H,R,ER,BB,SO,FIP,K%,BB%,ERA+,BAbip,HR,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,BA,OBP,SLG,OPS,OPS+,Pit,Str
29,Kevin Millwood-millwke01,0.45,2.86,2005,30,CLE,AL,30,30,1,0,0,9,11,0,192,182,72,61,52,146,3.73,18.30%,6.50%,147,0.284,20,799,733,36,3,0,4,6,4,19,33,6,0,0,2,0.248,0.3,0.387,0.688,85,2964,1913
30,Dave Roberts-roberda05,0.452,2.1,1971,26,SDP,NL,37,34,14,2,3,14,17,0,269.2,238,79,63,61,135,2.62,12.40%,5.60%,157,0.267,9,1086,989,37,4,9,5,18,12,37,12,4,0,0,4,0.241,0.285,0.313,0.598,77,,
31,Doug Fister-fistedo01,0.458,2.83,2011,27,TOT,AL,32,31,3,0,0,11,13,0,216.1,193,76,68,37,146,3.02,16.70%,4.20%,138,0.274,11,875,813,40,5,2,12,4,9,19,4,2,0,1,3,0.237,0.278,0.339,0.617,74,3195,2158
32,Ben Sheets-sheetbe01,0.462,2.7,2004,25,MIL,NL,34,34,5,0,0,12,14,0,237,201,85,71,32,264,2.65,28.20%,3.40%,162,0.29,25,937,891,57,4,1,4,6,4,10,15,5,1,1,8,0.226,0.255,0.383,0.637,66,3581,2442
33,Bill Stoneman-stonebi01,0.462,2.98,1972,28,MON,NL,36,35,13,4,0,12,14,0,250.2,213,93,83,102,171,3.07,16.30%,9.70%,119,0.263,15,1049,929,29,5,12,3,6,9,15,13,7,0,0,5,0.229,0.305,0.32,0.625,83,,
34,Joe Horlen-horlejo01,0.462,2.37,1968,30,CHW,AL,35,35,4,1,0,12,14,0,223.2,197,75,59,70,102,3.53,11.00%,7.50%,135,0.254,16,928,829,28,9,7,14,12,3,16,12,15,0,0,6,0.238,0.307,0.351,0.658,101,,
35,Woodie Fryman-frymawo01,0.462,2.78,1968,28,PHI,NL,34,32,10,5,1,12,14,0,213.2,198,78,66,64,151,2.68,16.90%,7.20%,109,0.288,12,892,805,22,3,2,6,13,4,18,3,10,0,2,7,0.246,0.305,0.325,0.63,96,,
36,Jon Matlack-matlajo01,0.464,2.41,1974,24,NYM,NL,34,34,14,7,0,13,15,0,265.1,221,82,71,76,195,2.42,18.10%,7.10%,149,0.272,8,1076,980,28,5,11,5,8,7,18,23,11,6,1,4,0.226,0.283,0.289,0.572,66,,
37,Curt Schilling-schilcu01,0.471,2.95,2003,36,ARI,NL,24,24,3,2,0,8,9,0,168,144,58,55,32,194,2.66,28.80%,4.80%,159,0.305,17,673,626,27,1,2,3,11,1,9,3,3,0,0,4,0.23,0.27,0.358,0.628,61,2452,1705
38,Pat Dobson-dobsopa01,0.471,2.65,1972,30,BAL,AL,38,36,13,3,1,16,18,0,268.1,220,89,79,69,161,2.64,15.10%,6.50%,116,0.256,13,1065,980,30,3,7,4,9,3,30,13,8,0,0,6,0.224,0.277,0.301,0.578,75,,
39,Ray Corbin-corbira01,0.471,2.62,1972,23,MIN,AL,31,19,5,3,5,8,9,0,161.2,135,56,47,53,83,3.43,12.60%,8.10%,124,0.248,12,657,587,18,3,3,6,8,3,15,8,11,1,0,2,0.23,0.299,0.332,0.631,89,,
40,Mike Paul-paulmi01,0.471,2.17,1972,27,TEX,AL,49,20,2,1,11,8,9,1,161.2,149,50,39,52,108,2.39,16.00%,7.70%,139,0.292,4,674,604,29,5,12,2,11,4,11,3,4,1,2,3,0.247,0.307,0.331,0.638,99,,
41,Ed Halicki-haliced01,0.474,2.85,1978,27,SFG,NL,29,28,9,4,1,9,10,1,199,166,74,63,45,105,3.03,12.80%,5.50%,121,0.243,11,819,751,21,2,9,7,12,3,6,36,2,0,3,1,0.221,0.27,0.298,0.569,66,,
42,Dick Selma-selmadi01,0.474,2.75,1968,24,NYM,NL,33,23,4,3,3,9,10,0,170.1,148,63,52,54,117,2.89,16.60%,7.70%,110,0.269,11,703,635,28,6,5,5,6,3,12,3,6,4,0,7,0.233,0.297,0.348,0.645,100,,
43,Jake Peavy-peavyja01,0.476,2.85,2008,27,SDP,NL,27,27,1,0,0,10,11,0,173.2,146,57,55,59,166,3.6,23.40%,8.30%,133,0.284,17,709,637,19,2,1,5,7,1,12,18,9,1,0,6,0.229,0.299,0.345,0.645,84,2859,1811
44,Ismael Valdez-valdeis01,0.476,2.65,1997,23,LAD,NL,30,30,0,0,0,10,11,0,196.2,171,68,58,47,140,3.51,17.60%,5.90%,146,0.268,16,795,731,35,4,1,3,11,3,14,16,6,2,2,3,0.234,0.282,0.358,0.64,76,,
45,Dennis Martinez-martide01,0.476,2.95,1990,36,MON,NL,32,32,7,2,0,10,11,0,226,191,80,74,49,156,3.08,17.20%,5.40%,124,0.261,16,908,839,30,6,9,6,11,3,13,19,9,1,1,1,0.228,0.274,0.335,0.609,75,,
46,Bryn Smith-smithbr01,0.476,2.84,1989,33,MON,NL,33,32,3,1,0,10,11,0,215.2,177,76,68,54,129,3.34,14.90%,6.30%,125,0.246,16,864,794,27,7,4,4,7,5,20,24,4,1,1,3,0.223,0.274,0.335,0.609,78,,
